kkmc_code,kkmc_name_cn
S250_Pizhou_Sulu,S250-邳州-苏鲁界
G3_Sulu,G3-京台高速-苏鲁界
G104_Suining_Suwan,G104-睢宁-苏皖界
S323_Xinyi_Woyao,S323-新沂-瓦窑站
G311_Tongshan_Suwan,G311-铜山-苏皖界
G235_Xinyi_Jiaojie,G235-新沂-交界
G104_Tongshan_Sulu,G104-铜山-苏鲁界
S325_Suining_West,S325-睢宁-西卡口
G518_Fengxian_Malou,G518-丰县-马楼站
G310_Tongshan_Suwan,G310-铜山-苏皖界
G206_Tongshan_Suwan,G206-铜山-苏皖界
S252_Suining_Suwan,S252-睢宁-苏皖界
S253_Peixian_Sulu,S253-沛县-苏鲁界
S323_Xinyi_Ahu,S323-新沂-阿湖卡口
LR_Fengxian_Liangzhai,鹿梁路-丰县-梁寨站
S505_Xinyi_West,S505-新沂-高速西
S324_Suining_Sangzhuang,S324-睢宁-桑庄
S251_Pizhou_Sulu,S251-邳州-苏鲁界
G237_Fengxian_Rongzhuang,G237-丰县-荣庄
